"Tweet","Class"
" तिने तोंड उघडलं ह्यांनी नाक दाबायला सुरुवात केली. ","offensive"
" करून दाखवलं  तोडून दाखवलं  उखाडून दाखवलं ","offensive"
" क्रेडिट कार्ड कर्ज लवकरात लवकर फेडून त्यामधून सुटका करून घेणे आवश्यक आहे. कारण या कर्जासाठी वारेमाप रक्कम आपण व्याजाच्या… ","not offensive"
" बांधल  त्यावेळी उद्धव गांजा ओढत होता का? एवढी बुडाला खाज असेल तर कुर्ला मधे जाऊन बघ  आणि विचा… ","offensive"
" भाजप हि मराठी अस्मितेची सर्वात मोठी शत्रू आहे हे भाजप च्या नेते आणि समर्थकांच्या बोलण्यावरून सिद्ध होतं. ","not offensive"
" मराठी कलाकार म्हणतात की मराठी चित्रपटासाठी प्रेक्षक नाही  पण मराठी कलाकार स्वतः दर वर्षी अवॉर्ड शो मध्ये हिंदी गा… ","not offensive"
" भक्त आंधळे असतात. मूर्खा ना काही कळत नाही. ","offensive"
" १९६६ साली छत्रपती शिवाजी महाराज या जागतिक दर्जाच्या सम्राटाचे नाव (brand) वापरून ज्यांनी  शिव सेना स्थापन केली त्यांची… ","offensive"
" प्रत्येक व्यक्ति सुंदर असतो... ~ काही मनानी ~ काही चेहर्‍यानी ~ काही insta फिल्टरनी ~ काही vivo oppo नी ","not offensive"
" छान thread लिहिला आहे..पण त्या बावळट माणसांना असले स्पष्टीकरण देण्याची काय गरज? काही झालं तरी फडणवीसां… ","offensive"
" आमच्या आवडत्या नेत्यावर कोणी साधी टीका जरी केली तरी आमचं रक्त खवळत  आम्ही चवताळून उठतो. पण आमच्या महापराक्रमी निर्व्यसनी… ","not offensive"
" आयुष्य खूप सोपं आहे आपण ते विनाकारण अवघड करुन ठेवतो... ","not offensive"
" सुशिक्षित माणूस सुसंस्कारित असेलच असे नाही...... ","not offensive"
" भिकारचोट म्ह्राताऱ्या तुझ्या लयकित रहा. पुण्यात राहून तू जास्त बोलत आहेस. ","offensive"
" हे काय होत मग ?? हे 2016च आहे. माझ्या माहितीप्रमाणे 2016 ला महाराष्ट्राचे मुख्यमंत्री देवेंद्र फडणवीस… ","not offensive"
" भक्तांची आधुनिक झासी कंगना रानावत हिचे झाशीच्या राणी बद्दलच वक्तव्य बघा   तुम्हाला लाज वाटायला पाहिजे   दळभद्री बिंडोक भ… ","offensive"
" भारतीय रेल्वेच्या roro सेवेबद्दल तुम्हाला किती माहिती आहे? ","not offensive"
" दाऊद कडून कॉल आल्यानंतर उद्धव ठाकरे स्वतःच्या घरातून गायब झाला. एकही शिवसैनिक पहारेकरी म्हणून मा… ","not offensive"
" बंगाली ची अस्मिता मराठी नेते ठाकरे परिवार सोबत दुखवत आहे तसेच करिश्मा भोसले ला… ","not offensive"
" विना ने काय घोडं मारलं??? शिव ठाकरे एक नंबर चा बावळट होता. कशाला त्याला मध्ये घ्या? म्हणे 🤣🤣🤣 ","offensive"
" घरी एखादी भाजी चांगली झाल्यावर... 🇦🇺   wow this is so tasty. 🇮🇳   एकदम हॉटेल सारखी झाली ए भाजी  वाटतच नाय घरी बनवली ए.… ","not offensive"
" इतर भाषांमधे सेवा देता मग मधे का नाही स्टार स्पोर्ट मराठी पुन्हा चालू करा. ","not offensive"
" डॉक्टर्सची कमतरता.. ","not offensive"
" तो काळ जुना होता.. आता 2.0 version आहे.. आता काही मुंबई मराठी वैगेरे मुद्दे नाहीत.. आता… ","not offensive"
" आम्हाला चालेल  तुम्ही डांग… ","not offensive"
" समाजहितासाठी काच फोडल्या तर अटक  बाकी पक्षांच्या कार्यकर्ते ह्यांनी तिकिटासाठी काचा फोडल्या तर गप्प .. नक्की वाचा ","not offensive"
" कुठे तरी पाहिल्यासारखा वाटल सिन.मग आठवला चित्रपट  किमान इंग्रजी चित्रपटातील आयडीया घ्यायची pr वाले काहीच मेहनत घेत ना… ","not offensive"
" बावळट कंगना एका मराठी अभिनेत्रीला बोलताना लाज वाटत नाही त्यावर इतकं गलिच्छ बोलताना एक महिला पत्रकार ह… ","offensive"
" अरे मुर्खा निर्यात वाढली की शेतकरी ला पैसे मिळतीलच ","not offensive"
" मृत्यूपत्र करताना कायदेशीर बाबींच्या पूर्ततेपेक्षाही कठीण काम असतं ते मालमत्तेच वर्गीकरण आणि विभाजन. काही मालमत्ता… ","not offensive"
" कायम कुत्र्यासारख भुंकणारे टरबुज्या आणि चंपा   तोंडात कोणीतरी मु..ल्या सारख तोंड बंद करून गप्प का ? ती कंगना महारा… ","offensive"
" लै भारी काम हॉलिवूड ची धमाल आपल्या भाषेत.. ","not offensive"
" स्वप्न  यावर फुलपंखी चर्चा करतील. पण  लक्षात घ्या याच निवडक इलेक्ट्रॉनिक मीडियानं अक्कल गहाण ठेऊन लोकशाहीला अर्धन… ","not offensive"
" मुख्यमंत्री जबाबदार पण प्रधानमंत्री खूप चांगलं काम करतोय  राज्यच तुलना दुसऱ्या राज्य बरोबर करायची प… ","not offensive"
" १० वर्षा पासून रखडलेली शिक्षक भरती.शिक्षक लोकांनी डिग्री जाळून  उपोषण करून आंदोलन केली … ","not offensive"
" रिया जेल मध्ये पोहचली  कंगना मुंबईत पोहचली...पण gdp आणि रोजगार कुठपर्यंत पोहचलाय? हे कुणीही सांगत नाही ","not offensive"
" माझ्या सूत्रांकडून शोध सुरू आस्थाना  एक मुंबईचा बड्या… ","not offensive"
" सर मोक्षगुंडम विश्वेश्वरैया  (भारतरत्न) डॉ.विश्वेश्वरय्या यांना अनेक विद्यापीठांच्या डी.लिट उपाध्या मिळाल्या होत्या… ","not offensive"
" लंड चाट्या बुल्ल्या..कार्यकुत्र्या तु… ","offensive"
" त्या पंतप्रधानाला म्हणावे की सातारा सांगली कोल्हापूरला देखील तुझ्या नकाशात दाखव.च्यायला यडपट ","offensive"
" शांत राहिले की ही बाळासाहेबांची सेना नाही अन् थोडे अशांत झाले की आतंकी सेना.. त्यांच्या मतावर तेच ठाम नाहीत. मंद भक्त ","offensive"
" यांना पोर्टस्टार म्हणणाऱ्या नालायक जातीच्या ला महाराष्ट्रातील विशिष्ट पक्षाचे कार्यक… ","offensive"
" अय नरसाळ्या मुंबई तुझ्या बापाची पेंड लागलीय काय असे गटर सडक छाप लै आले मुंबई महाराष्ट्रा… ","offensive"
" साहेब बापाचा घाम विसरण्या ईतके आम्ही नालायक नाही पन तुमच्या चुकीच्या धोरणांमुळे आम्हाला तेवढ… ","offensive"
" मरणार.. लाचारी रक्तात भिणली आहे यांच्या. आरश्यासमोर उभे राहू शकत नाहीत म्हणून त्यांची दळभद्री तोंडे घेऊन आपल्या समोर फडकत असतात. ","offensive"
" सरळ आणि सोपे ","not offensive"
" तुजी लायकी आहे भडव्या गु खायची आमचा रोज येऊन खा मादरचोत साला भडव्या फेक अकाउंट वरू… ","offensive"
" फडणवीस सरकार असताना आरक्षनाचे राजकारण करुण तोंडाला फेस येई पर्यंत आरोप करणारे तोंडात मोगरी फसल्या सारखे गप्प आहेत..… ","offensive"
" च्यायला मला सुरवातीला 2106 आकडा बघून वाटलं.. कि स्वप्निल भाऊ पण बच्चन साहेबांच्या मागे लागले कि काय?  ","offensive"
" पंखावरती ठेव विश्वास घे भरारी झोकात कळू दे त्या वेड्या आकाशाला तुझी खरी औकात  विश्वास नांगरे पाटील. ","not offensive"
" मराठी भय्या ज्या देशाला राष्ट्रभाषा नाही   आणि राज्य हे भाषेच्या आधारावर आहे  त्यामळे आधी राज्यघटना वाच आणि त्याम… ","not offensive"
" मी काय लोकप्रतिनिधी आहे का प्रश्न विचारायला? ज्यांना मतं दिल्यात त्यांना विचार. आणि केंद्र सरकारला… ","not offensive"
" ॥ जिथे विश्वास आहे तिथे श्रध्दा भाव आहे श्रध्दा भाव आहे तिथे भक्ती आहे भक्ती आहे तिथेच प्रेम आहे ॥ सद्गुरुंच्या वचणावर वि… ","not offensive"
" १२ लाखाच्या कोथिंबिरीची जेवढी चर्चा होतेय तेवढीच दखल जर कवडीमोल जाणाऱ्या आणि उत्पादन खर्च पण न निघालेल्या शेतमालाची… ","not offensive"
" तुझ्या तोंडात gotya आहेत ना योगीच्या त्या काढ 🤣🤣🤣 ","offensive"
" कोरोनाच्या कॉलर ट्यूननंतर आता ह्या च्या जाहिरातीने त्रास सुरू केला आहे... जाहिरातींसाठी इतका पैसा मोजण्यापे… ","not offensive"
" अरे येड्याहो तुम्ही तर मर्चंट नेव्हीतल्या माणसाला भारतीय नौदलाचा अधिकारी करून टाकले होते मूर्खांहो आणि मुंबई महानगरपालिके… ","offensive"
" हो.. अश्या धरसोड राजकीय भूमिकेमुळेच अजून मतदारांचा विश्वास नाही संपादित करता आला.. हेच दु… ","not offensive"
" प्रधानमंत्री नरेंद्र मोदी आज मधल्या पीएम स्वनिधी योजनेच्या लाभार्थी स्ट्रीट वेंडर्स शी व्हिडिओ कॉन्फरन्सिंगद्वा… ","not offensive"
" तुजाई च्या गांडीत मी मुतायचो आणि शॉट दिल्यावर ती पटकन मुतायची साली रंडी ","offensive"
" तुझे माझे श्वास एक झाले दोघांचे प्राण एकमेकांत गुंफले होऊदे शेवट एकाचक्षणी राहुया आठवणीत एकत्र लोकांच्या मनी  हर्षद पोतदार… ","not offensive"
" मुर्खा मी घेत नाही.. गरजू ने घ्यावा... लोकांना मोफत चे रेशन... शेतकरी खात्यात 2000..… ","offensive"
" सावधान.  ipl सुरू झाल्यावर तुम्हाला सुशांत  रिया  कंगना आणि तो छोटासा कोरोना यांचा विसर पडू शकतो. अचूक बातमीसाठी… ","not offensive"
" कशाला झाशीची राणी उपमा देता ह्या बावळट बाई ला त्यांच्या नखाची सर तरी येईल का ह्या बेवडी ला ","offensive"
" 5 वर्षे गोट्या खेडत बसले होते काय साहेब तुम्ही....... की फक्त हांजी हांजी करण्यात गेली सगळी 5 वर्षे तुमची ","offensive"
" च्यायला ह्यांना चॅनेल बंद करायचा फतवा काढावा लागतो  शिवसेना आहे की हिजडिसेना  एवढंच आहे तर सोशल मीडि… ","offensive"
" कंगणाच्या कार्यालयावर जेसीबी चालवून मुंबई महानगर पालिकेने आणि मुंबई पोलीस प्रशासनाने योग्य केले आहे. महाराष्ट्राचा … ","not offensive"
" तुझ्यासारखे दळभद्री जनतेची माथी bhadkavnyacha kaam करत a… ","offensive"
" कुठल्या नौदलाचा अधिकारी होता रे हा? बावळट लोकांनो  मर्चंट नेव्ही मध्ये होता तो. ","offensive"
" माणसाचा नको असलेला भाग दूर करायला शिका ह्याची सुरुवात स्वतःपासून करा. स्वतःला नको असलेला भाग कोणता तर ज्यापायी आपला आनंद  प्रग… ","not offensive"
" झाट कळलं नसेल त्याला ","offensive"
" तेव्हा पाकिट त्यांच्या तोंडात कोंबलेले असतं ","offensive"
" तुझ्या हिश्श्याचं चांदणं अजून छतावर तसंच आहे आलीस कधी चुकून तर अंधाराला विकून जा.... कोपऱ्यात पडलेला चंद्र तेवढा जपून ठेव..… ","not offensive"
" आबे चुतीये लोक तुला शिव्या देत आहेत ह्या वरूनच ओळख मराठी लोकांच्यात किती चीड निर्माण झाली आहे.....मंद बुद्धी आ… ","offensive"
" मंदा... चित्राताई ट्विटमध्ये म्हणतात  राज्यात 3 पक्षाचे ..… ","offensive"
" फडणवीस टीव्ही वर आले की आई म्हणते  नळावरच भांडण बंद कर  अजून एखाद्याचा किती अपमान व्हावा अध्यक्ष महोदय.  ","offensive"
" शरीरापेक्षा मनाचा थकवा खूप त्रासदायक असतो शरीर थकंल की शांत झोप लागते आणि मन थकलं की झोप उडते...... htt… ","not offensive"
" आधी बातमी वाच रे मंद भक्ता  तुमच्या सारख्या लोकांसाठी च बनवून ठेवलीय. जरा कमी तों… ","offensive"
" हा ट्विट पोहचू द्या कंगना पर्यंत छत्रपती शिवरायांच्या महाराष्ट्राला बोलते ही हरामखोर तुझी नक्की जळाली असेलच… ","offensive"
" देशाचा पंतप्रधान असू किव्हा कोणी पण त्याची लायकी फक्त छत्रपतीनच्या पायाशी  मूर्खा सारखे… ","offensive"
" एक नालायक बाई एका महाराष्ट्रीयन मुलीला पोर्न स्टार म्हणते आणि दुसरी नालायक बई… ","offensive"
" हाय हिल्स स्त्रियांसाठी नव्हे  तर पुरुषांसाठी बनवल्या होत्या  विश्वास बसत नाहीये? हे वाचा ","not offensive"
" पाद गेल्यावर बोचा आवळून काहीही फायदा नाही...उध्वस्त माणसा ","offensive"
" चीवसैनीक मंद असतात हे आत्ता पटलं ","offensive"
" २००४ साली वर्किंग फ्रॉम होम करून या माणसाने आपल्याला धंद्याला लावला  ) ","not offensive"
" कष्टाचं हास्य ते मागून मिळत नाही  ते कमवाव लागते. फोटो   व्हाट्सअप ","not offensive"
" आंदोलक त्यांची बायको मागताना तुम्ही तुमच्या तोंडात फेवीकॉलचा अख्खा डबा घालून ठेवला होता का ?? ","offensive"
" तो माझ्यात मैत्रीण शोधतोय आणि मी त्याची प्रेयसी बनण्याच्या प्रयत्नात. . दोघेही असफल या न संपणाऱ्या युद्धात. . . ","not offensive"
" सर्वात लहान वयात प्रथम श्रेणी सामन्यात द्विशतक मारण्याचा विक्रम करणारा  ज्याच्या खेळाची प्रशंसा केली जाते अशा पंजाब व कोल… ","not offensive"
" बावळट 🤣कगंना ","offensive"
" आपल्या कार्याद्वारे समाजसेवेचा वसा असाचं चालू ठेवेल   १५ सप्टेंबर १९८३ साली ","not offensive"
" गोट्या ","offensive"
" हा हा.. तो जो पक्ष आहे ज्याचं हे official account आहे त्याचेच अध्यक्ष… ","not offensive"
" तुम्हालाही बोटं मोडायला मजा वाटते ना  पण ते चांगलं की वाईट? मग हे नक्की वाचा ","not offensive"
" येताना काही आणायच नसतं  जाताना काही न्यायचं नसतं.... मग हे आयुष्य तरी कोणासाठी जगायचं असतं.... या प्रश्नाचे उत्तर शोध… ","not offensive"
" राजसाहेब ठाकरे हे नेहमीच आपल्या माणसाला सजग करत असतात.  आज  काही महाभाग जागे झाले व म्हणत आहेत   सरकारी नो… ","not offensive"
" नांदेड मधे 2016 साली मोठा पोलीस भर्ती घोटाळा झाला होता तो कसा झाला व कोन कोन जवाबदार होते याचा अभ्यास करने आवश्यक आ… ","not offensive"
" अमेझॉन मराठी लोकांच्या अर्धीच संख्या असलेल्या तमिळ भाषेत आहे  पण मराठीत नाही  का? कारण आपली गणना हिंदी भाषिक म्हणून होते. ","not offensive"
" मराठा आरक्षणाला स्थगिती ....  वेदना देणारा निर्णय ... न्याय व्यवस्थेवर प्रचंड विश्वास असणाऱ्या मराठा समाजावर आज अ… ","not offensive"
" अरे मुर्खा तेच तर सांगतोय महापौरांच्या… ","offensive"
" बोलताना काय बोलतोय कुणाबद्दल बोलतोय तारतम्य ठेवा..एकीकडे महाराज्यांचे गोडवे गाता आणि… ","not offensive"
" छत्रपतींच्या महाराष्ट्राला पाकिस्तान म्हणणारी ही मंद बाई स्वतःला झाशीची राणी समजते. मु… ","offensive"
" डी.एड.चे शिक्षण घेऊनही ज्यांना नोकरी लागत नाही त्यांना सुध्दा शिक्षक दिनाच्या हार्दिक शुभेच्छा... ","not offensive"
" ओठी हसू खुलले तरी डोळ्यात तो आनंद आता दिसत नाही... तुझ्याविना नकोस वाटत आयुष्य पण काळ संपता संपत नाही... ","not offensive"
" बरोबर आहे पण सर्वच पक्षाचे नेते सारखेच नरेंद्र मोदींनीही 2017 साली शेतकरी विरोधी कायदा आणलाच न त्यामुळं ह्या सर्वच… ","not offensive"
" हो झाली सोय... आत्ताच खाल्ला वडापाव.. आणि म्हणून मनसे गप्प आहे का… ","not offensive"
" लवडा बोल ","offensive"
" भाजप तर नालायक आहेचं. त्यांची मुजोरी य् सहा वर्षांत खूप वाढली आहे. पण अशीच मुजोरी आणि हिंसा हे कम्युनिस्ट वर्षानुव… ","offensive"
" लबाडांशी लढताना लक्षात असूद्या   साधं असावं  बावळट नाही   प्रामाणिक असावं  भाबडं नाही   नम्र असावं  कमजोर नाही  ","offensive"
" जशी दृष्टी तशी सृष्टी ","not offensive"
" बारबाला .इटेलियन रांड ","not offensive"
" अरे भडव्या काँग्रेसीनो तूम्ही् महाराष्ट्रातील जनतेला काय दिलं? दुप्पट लाईटबील. शिक्षक भरतीचं काय झालं? ","not offensive"
" ipl चालू करा रे लवकर... आधीच कोरोना त्यात सुशांत  रिया आणि आता कंगना.. ","not offensive"
" माझा नवीन व्यवसाय... मलाई मावा पेढे.. ","not offensive"
" अरुणाचल येथून बेपत्ता झालेल पाच तरूण चीनमध्ये सापडले. केंद्रीयमंत्री किरेन रिजीजू यांनी ट्विटद्वारे दिली मा… ","not offensive"
" अख्खी क्रिकेट मॅच खरच फिक्स होते का? हे नक्की वाचा... ","not offensive"
" ज्या दिवशी जबाबदारीच ओझ खांद्यावर येत ना  त्या दिवसापासून रुसायचा आणि थकायचा अधिकार संपतो... ","not offensive"
" किंवा करून शिक्षण सेवकांना नयाय द्यावे ही विनंती.... ","not offensive"
" महाराष्ट्र बाॅलीवुड मुक्त कधी होणार? जर बाॅलीवुड महाराष्ट्रात राहिला तर मराठी सिनेसृष्टी कधी समोर नाही जाणार  आता बाॅलीवु… ","not offensive"
" आधी बातमी वाच रे मंद भक्ता  तुमच्या सारख्या लोकांसाठी च बनवून ठेवलीय. ","offensive"
" सुमित जी    मराठी कलाकारांना सुद्धा थोडं सांगा  ","not offensive"
" मुर्खा सारखे नकोतिथे मराठी अस्मितेच्या नावावर फालतू राजकारण करून महाराष्ट्राचे मोठे नुकसान करणार आहेत हे लोक. मग म्हणाल म… ","offensive"
" शेतकऱ्यांना देशोधडीला लावणाऱ्या दळभद्री सरकारचा जाहीर निषेध. मोदी राजिनामा द्या. ","offensive"
" सावित्रीबाई फुले पुणे विद्यापीठासोबत इतर विद्यापीठांच्या एमसीक्यू बेस्ड परीक्षा ऑफलाइन आणि ऑनलाइन अशा दोन्ही पर्यायांनी… ","not offensive"
" ती ची जाहिरात पाहून मी इतका प्रभावीत झालोय की... उद्याच ऑफीसला जाऊन  माझा नंबर मध्ये करतो. ","not offensive"
" या देशातील खेळाडूंना आयपीएलमधील एका तरी सामन्याला लागणार मुकावे  जाणून घ्या कारण ","not offensive"
" अरे यार.  आपण इकडे csk  mi  rcb करत राहिलो  आणि तिकडे ने २ वर्षात ipl ची स्पॉन्सर्सशिप विकत घेतली तब्बल २२२कोटी… ","not offensive"
" च्यायला काय घाण चूक झाली  एक ते दीड हजार मिळतात असे वाचा चू शेनिकांमुळे झालेली चूक  ","offensive"
" अरे मादरचोद तुमची औकात काय आहे रे. भोसडीच्यानो कोणी लवडा विचारत नाही तुम्हाला. राजपुत भांडी घासत हो… ","offensive"
" जावयाला ६७ पदार्थांचं ताट वाढून तृप्त करणारी सासू  वाचा यामागची खरी गोष्ट ","not offensive"
" सुंदर चेहरा फक्त आकर्षित करू शकतो. पण प्रेम करायला सुंदर मनं च लागत. सुंदर मनं वेड लावतं. मनाने सुंदर असलेली व्य… ","not offensive"
" ज्यानला महाराष्ट्र च राजकारण समजत त्यांला हे नक्की माहिती असेल.  पॉवर  च खूप मोठं योगदान आहे. जिथे  पॉवर  असेल तिथे… ","not offensive"
" आज ४१ वर्षांपूर्वी सिनेमाच्या इतिहासात सिंहासनच्या निमिताने एक सुवर्ण अध्याय लिहिला गेला होता. १९७९ सालचा… ","not offensive"
" बेकायदा ऑफिस तोडलं आहे कंगनाचं आणि चवताळलेत खाल्या मिठाला तरी जागा रे डुप्लिकेट बिहाऱ्यांनो. जय… ","not offensive"
" देशद्रोही  मुंबई द्रोही  महाराष्ट्रद्रोही बेवडी कंगना. भक्त लोकांच्या तोंडात शेण गेलं का आता बाबर आर्मी  पाकि… ","offensive"
" हिंदू धर्मात 4 वेद  6 शास्त्र  18 पुराण  60 नीति. 108 उपनिषद आहेत तरीही काही दळभद्री लोक डोके टेकवायला पीर बाबाच्या मदार वर जातात  ","offensive"
" ही 1930 साली जपान मध्ये घडलेली सत्य घटना आहे आणि त्या hachi म्हणजे डॉग चा पुतळा shibuya रेल्वे स्टेशन परिसरात आहे ","not offensive"
" 1962 चे चीनचे सैन्य आणि आजचे यात मोठा गुणात्मक फरक आहे.1962 साली भारताबरोबर युद्ध करणारं चीनी सैन्य हे माओच्या सा… ","not offensive"
" माणूस सुधारला हे केव्हा समजायचं? जेव्हा तो जात आणि पावसात भिजून केलेली भाषणे यांना मतदानाचे निकष मानणे बंद… ","not offensive"
" हे असले लोक काहीतरी दैवी देणगी घेऊन येतात  काय काय लिहून जातात  शब्दशब्दात भावना ओतप्रोत भरलेल्या  इथे… ","not offensive"
" अकलेचे तारे कशाला तोडतोय मूर्ख. अरे तुरे करायला भाग पाडतोय तू. तुझ्या अकलेची कीव येते. मराठी कलाका… ","offensive"
" नूसती मोजणी....झाट काय उपाय नाही...सगळ सूरू करून ठेवलय.... ","offensive"
" दादासाहेब फाळके असे त्यांच नाव आहे... काहीही नावं लिहुन कोणाचा अपमान करु नये... म्हणे मी मराठा महारा… ","not offensive"
" सीमा सुरक्षा दलाने (बीएसएफ) राजस्थानमधील श्रीगंगानगरजवळ दोन तस्करांना गोळ्या घालून ठार केले. ठार घुसखोरांकडून श… ","not offensive"
" भाषेची गळचेपी सहन करणार नाही.. तसेच आघात सहन करणार नाही. जो मराठी भाषेसाठी आणि हिंदू धर्मासाठी दो… ","not offensive"
" हा तमाशा सुरु केला भाजपवाल्यानीं केवळ दळभद्री राजकारण करत बिहार जिंकण्यासाठी . ","offensive"
" भाजपा असेल किंवा केंद्र सरकार असेल यांच्या  डांगीत  खरंच दम असेल तर असे ममता बॅनर्जी यांच्या राज्यात cbi पाठवून दाख… ","not offensive"
" जेव्हा स्वतःच्या घरात  भाड्यानं  राहिल्यासारखी feeling मनात येईल... तेव्हा... स्वतःच्या पायावर ऊभ राहण्याची वेळ आली आहे… ","offensive"
" कंगणाच्या कार्यालयावर जेसीबी चालवून मुंबई महानगर पालिकेने आणि मुंबई पोलीस प्रशासनाने योग्य केले आहे. महाराष्ट्राचा  मुंबई… ","not offensive"
" कोण ती भिकारचोट अभिनेत्री ","offensive"
" चांगल्या व्यक्तीचे गुण बघण्यापेक्षा लोक अवगुण च बघतात.. ","not offensive"
" कोल्हापूरच्या पन्हाळा तालुक्यातील काही भागात झालेला ढगफुटी सदृश्य पाऊस  २ तास झालेल्या पावसानं मोठं नुकसान झालंय … ","not offensive"
" मरण हा शब्द खूप जवळचा वाटतो पण समोर आल्यावर जगायचा ध्यास लागतो.. . . . ","not offensive"
