id	tweet	subtask_a
28	RT @USER: يا دان يا بليزريان عيييب كدا رااعي شعورنا 😂😂😂😂💔 URL	NOT
29	اللهم صفي قلوبنا واغسل ذنوبنا واستر عيوبنا وزكي نفوسنا <LF>اللهم اجعلنا ممن طاب ذكرهم وحسنت سيرتهم واستمر أجرهم في حياتهم وبعد موتهم<LF>اللهم يا ودود يا ودود أسألك لي ولاحبتي لذة السجود ودعاء غير مردود وفرج ورحمة منك يامعبود وابعد عني وعنهم البلاء 💕	NOT
30	RT @USER: @USER @USER صباح الورد يا بن العم يا مرحبا بالغالي🌹	NOT
31	يا البعيد اللي هناك، يا القريب اللي هنيّا💕	NOT
32	شخصية خيالية ممحونة: حقوق المماحين!<LF>إنسان حقيقي ممحون: يا ممحون يا حيوان تعال اقطع لك زبك حتى لو جحر فار تبغا تنيكو يا ممحوون قال نفسي اتمتع قال	OFF
33	RT @USER: اصعد يا صوت الشعب اصعد يا حبيب الشعب #اسقاط_القروض_لليوم_131	NOT
34	@USER مش دي برضه اللي قالت يا صغنونة يا صغنونة بكرة نأبك يجي علي شونة 😂😂	NOT
35	@USER يا جدعان العلق دا لسه بيقولي هذاكر الاسئلة كفاية ، و راح فتح تويتر .. يا فاشل .. يا فاشل يا فاشل يا فاشل 😂😂😂	OFF
36	@USER اعلامي هلالي وش ترجي منه اي والله الى قال محمد العويس حراق🔥🔥🔥حارق قلبك يا زقان يا المطيًويع من حرق عساه للحرق يا رب جعلني اشوف فيك يوم اسود انت وعائلتك يا ابن الكلب	OFF
37	يا مذهله مدري يا بنت النور<LF>غيبتك ما ملّت مكابرها؟<LF>طال السفر يا حبي المغرور<LF>وصلتي اشواقي .. لأخرها<LF>ترا الصبر والموعد المهجور<LF>يقتل هوى النفس ومشاعرها<LF>انتي قصيدة بكّت الجمهور<LF>وشلون اجل سوّت بشاعرها💛💛.	NOT
38	@USER ما شاء الله تبارك الله عساك عالقوة يا بطل و للأفضل يا رب	NOT
39	هما بيعملوا ايه !! انت يا حيوان انت يا اطرررش انا بسقط هنااااا URL	OFF
40	RT @USER: @USER انت والتيم بتاعك يا عبيد الفولورز يا سفله<LF>#اهلي_كمل_الصداره	OFF
41	@USER @USER @USER @USER @USER يا لبناني يا فضلات الاستعمار الفرنسي اللبنانيين بالخليج يشغلون نسوانهم عاهرات	OFF
42	RT @USER: كل حركة ، كل همسة ، كل فكرة، كل نية ، كل كلمة ، كل لحظة حتتسجل ف كتاب و محسوبة يا علينا يا لنا .. لازم نستوعب انه ورانا الكثي…	NOT
43	يا كبر الفقد و يا قلة الحيلة 💔	NOT
44	@USER يا افنان يا نفسيه عيب عليك	NOT
45	RT @USER: اشرس مشكل بتاريخ لبنان على الجديد😂😂😂😂😂😂😂😂😂لك شو هالاسمو لك روح يا يا يا يا روح يا 😂😂 #لهون_وبس	NOT
46	ف يا ربي يا رحمن تجمع شملنا <LF>قبل الممات ولو بيوم واحدِ	NOT
47	أمي <LF>أحبك يا حبة الرمان يا السما الزرقاء الصافية يا أجمل ما في الوجود يا من حضنها أمن وأمان واطمئنان لا حرمني الله منك أبدا يا سبب سعادتي وعافيتي وبهجتي لولاك ما كان لحياتي معنى أحبك وأتمنى رضاك عني	NOT
48	المفروض يكون الشوق عادل يا يمر القلبين يا انو ولا واحد .	NOT
49	@USER وإياكِ يا رب ويسعدك يا داليا ❤❤	NOT
50	تذاكر يا هانم ..... تذاكر يا بيه _ بالكلمات _ باداء خيالي ل عبير الشاذلي URL via @USER	NOT
51	@USER يا قدس، يا مدينة الأحزان <LF>يا دمعةً كبيرةً تجول في الأجفان <LF>من يوقف العدوان؟ <LF>عليك، يا لؤلؤة الأديان <LF>من يغسل الدماء عن حجارة الجدران؟ <LF>من ينقذ الإنجيل؟ <LF>من ينقذ القرآن؟	NOT
52	ايش الاكل الحلو ذا ياسُميه تسلم يدك ياعسل ياقشطه ياحلوه ياسُكره يا طباخه يا فنانه يا كل شي💛.	NOT
53	=- يا تسامح وتنسى يا تعاتب وتصفى يا تغور وتخفي.👌💛	NOT
54	يا أم العيون الخجْلا يا نبض <LF>صدر نجد العذّيه 🌿..	NOT
55	@USER فين يا ابن القحبه يا معرص السودان مش هيعملوا اَي شي من مخططكم هاهاهاهاها و لسه يا خونه	OFF
56	حقيقي ✋️ <LF>حلو انك ميجيش فيك اجوان عشان متخسرش !ده بديهي يعني <LF>بس حرفياً الزمالك بيطلع دين امي قدام و مش حلو نفضل ماشين بمبدأ يا نكسب يا نتعادل المهم منخسرش ..	OFF
57	RT @USER: إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي 😁😁🐒…	NOT
58	RT @USER: لازم تراعو مشاعر الناس اللى بمليون مود فـ الدقيقه اللى يا بتتكلم كتير يا بتسكت خالص اللى ممكن يومهم يتقفل بكلمه اللى اقل حاج…	NOT
59	RT @USER: انا هالفتره يا نايمه يا فيني نوم يا بنام ..	NOT
60	@USER @USER اه كدب وتزوير، لان الحكم جه علينا وعليكوا، احسب كورة اغادير واحسب كورة ابراهيم حسن هنتاهل ب 2/1<LF>اطرد علاء واطرد قصاده اللاعب رقم5<LF>مش حراق برضه يا نمس انت يا نمس مال الحكم والمخرج بقى بتاهل الزمالك المستحق او الغير مستحق	NOT
61	RT @USER: بطلو انانيه يا شعب يا انصرافي ويلا على صفوف عيشكم وبنزينكم	OFF
62	صباح الخير يا مصحصح يا عسل يا ورد متفتح<LF>انا أبى نهاري خير قلت برقمك اتصبح<LF>#صباح_الاثنين	NOT
63	كملنا سنتين مع بعض يا اجمل اقداري يا اجمل ماحصل بدنياي ياحاجة ضوت سنين عمري سنتين وانا عايشه بالهنا كملنا سنتين بحلوها💙.	NOT
64	@USER الله عليكي الله يا بنت مصر يا مقاتله يا شريفه	NOT
65	RT @USER: ورجعت الصداره لزعيمها <LF>يا رب تمم يا رب تمم يا رب تمم	NOT
66	يا اجمل الأيام يا يوم الخميس<LF>يا اروع واجمل يوم بعيون الملا<LF>يا درة ألاسبوع ياليوم النفيس<LF>الكل بقدوم يرحب/يا هلا<LF>#هلا بالخميس URL	NOT
67	@USER عليك لعنه الله يا فتنه الفتنه اشد من القتل انت محرض من النوع الاخوانجي سلمان الحزم سلمان الانسانيه سلمان من دمر كم يا اخوانجي يا شيعي يا ابن موزه عاش سلمان الحزم عاش عاش ملك العرب URL	OFF
68	يا وصفة الحب يا دكتوري و طبي💘	NOT
69	RT @USER: 🌹<LF>🌸 يا أمينَ اللهِ يا شمسَ الهُدى <LF> يا إمامَ الخَلْقِ يا بحرَ الندى 🌸<LF>🌸 عجِّلَنْ عَجِّلْ.. فقد طال المَدى <LF> وآضْمَحَلَّ…	NOT
70	ياما قالو الهوا غلاب .. ولا مرة حسبنا حساب .. نبعد يا هوى يا هوى يا هوى 🖤	NOT
71	يا مَنِ اسْمُهُ دَواءٌ وَذِكْرُهُ شِفاءٌ وَطاعَتُهُ غِنىً، اِرْحَمْ مَنْ رَأْسُ مالِهِ الرَّجاءُ وَسِلاحُهُ الْبُكاءُ، يا سابِـغَ النِّعَمِ، يا دافِعَ النِّقَمِ، يا نُورَ الْمُسْتَوْحِشينَ فِي الظُّلَمِ، يا عالِماً لا يُعَلَّمُ، صَلِّ عَلى مُحَمَّد وَآلِ مُحَمَّد <LF>صباح الخير	NOT
72	@USER @USER يا بعد هالدنيا يا مجيد ❤️❤️	NOT
73	صبحت بالخير يا رمش أتذرى به يا قلب أحبه ولا لي عن طريقة مفرررر	NOT
74	RT @USER: يا اَبَا الْحَسَنِ يا عَلِيَّ بْنَ الْحُسَيْنِ ، يا زَيْنَ الْعابِدينَ يَا بْنَ رَسُولِ اللهِ يا حُجَّةَ اللهِ عَلى خَلْقِهِ…	NOT
75	@USER @USER أولا يا إبن الشرموطة السعودية , ليش تتكلم مصري , يمكن أمك ناكها حارس العمارة المصري جنبكم مسكينة مبس داعس على وجوهكم يا كلاب يا بدو يا معفنين تبي فلوس على تأكلكم من عرق طيزها ههههههه, والله لأجيك يا إبن الشرموطة البدوية لأنيكك و إحشي كس	OFF
76	@USER يا بجم يا عجم يا نجم كلنا فالهوا سوا	OFF
77	RT @USER: ربي يا قابض يا باسط يا معطي ارزقني رزقاً واسعاً عاجلاً غير آجل وهب لي من لدنك ملكاً ورزقاً تذهل به الأعين وتفرح له الأنفس وتذك…	NOT
78	صاحباتي و أقاربي اللي من نفس عمري و عايشين و مستقرين برا "المنكوبة " عايشين حياتهم و ينك يا سفر يا سياحة يا تجارب يا تعليم يا لغات ،عايشين عمرهم بجد و بكل تجاربه حب/حزن/خسارة ! الا انا! نقعد نحسب امتي بتصير حرب تانية ؟ من بيخش علي من و من بيطهر و يحرر من ؟ قعدت في نفس الدوامة !!	NOT
79	@USER ده إحنا حاجه فظيعه يا شيخه يا ساتر علينا 🤣🤣🤣	NOT
80	يا مبتدأ يا منتهى .. يا آخري يا أولّي💙	NOT
81	RT @USER: فز يا خفاق و أهدأ يا شعور<LF>واحتفظ في كل وقتك بالوقار<LF>**<LF> لو يفوح العود الأزرق بالبخور<LF>ولو يذكرك المسا شوق النهار<LF>**<LF>فيك لا ي…	NOT
82	@USER @USER @USER اليورباليغ بياخذه يا ارسنال يا تشيلسي خذها مني وتاهلنا للرابع مابيكون له فايده	NOT
83	يعني ما افهم حقيقي تضاربوا يعني خلاص حنكون زيهم؟ حفلهم كان بقاعه والاهالي كلهم موجودين واحنا بمدرسه وبس شخص واحد يا ام يا اخت تجي معك واحس يارب انك تلعنها اذا حتى على الاشياء الحلوه تنكد علينا فيها الجزمه	OFF
84	RT @USER: انفروا يا رجال الله يا كل واثق<LF>ندحر العاصفه يا عز قوم اصيله<LF>في زمان الكرامه بل و كشف الحقايق<LF>با نخوض المعارك…	NOT
85	يا ترى مخبيلنا ايه يا چون سنو انت و الكلبوبة اللي جنبك دي	OFF
86	@USER شكلك فرحان يا عبدالرحمن يا اخي انت يهودي و لا ايش ملتك مستحيل تكون مسلم	OFF
87	@USER @USER بلوك يا برنس يا خويا ومالوا مش عيب 😀	NOT
88	@USER @USER @USER @USER @USER @USER @USER @USER واحد يسأل لبنانية ايش اسمك. قالت (يارا ياسين ) <LF>وانته شو اسمك <LF>قال. يا حاء. يا جيم<LF>😂😂😂😂😂😂😂😂<LF>🏃🏃🏃🏃🏃🏃🏃🏃<LF>من الامراض التي ليس لها علا	NOT
89	@USER يا اوباما يا جبان يا عميل الامريكان 😂	OFF
90	RT @USER: يا ساتر يا ساتر يا ساتر URL	NOT
91	يا تكون قد الحياة يا تعييش وحيد وسط الدروب❤💔 @USER	NOT
92	@USER اهل اول .. يا فل يا كادي يا كمل	NOT
93	بقيلك قلقانه وانت تفوت تنام .. يا سلام على حبك يا سلام	NOT
94	يا علاج الروح يا غاية فوادي🖤.	NOT
95	RT @USER: @USER هل مازال يوجد مدنيون بعد قتلكم لهم وتدمير بيوتهم يا قتلة يا عملاء يا مأجورين يا عبيد الامارات ومصر والس…	OFF
96	يا صباح الخير يا صباح الحب يا صباح الربيع<LF>💛😎<LF>#عيش_الآن URL	NOT
97	أوّاه يا ضحكتك .. وأوّاه يا ظني<LF>كم مرةٍ قلت ما أحبه وأنا أحبه	NOT
98	اسحب مارسيال وعطنا لوكاكو يا سولشاير يا بزر يا زق	OFF
99	RT @USER: صباح الخير يا مصر. صباح الخير يا أم الدنيا URL	NOT
100	@USER يا هند يا قمر وانتي طيبة يا حياتي 💖💖<LF>وانا كمان والله مبسوطة اني عرفتك جدا	NOT
101	@USER ربنا معانا كلنا <LF>ويهديكي ويصلح حالك يا سوما يا بنت ام سوما ⁦😂	NOT
102	RT @USER: احلى فاصل يا فيصل واحلى سلطنه يا سلطان💔💔💔<LF>#الشباب URL	NOT
103	@USER @USER معاد يمديك تغيرين الموضوع هههههههههههههههههههههههههههههههههه يا سلقه يا حمير 🦓 طبعا بدري عليك تفهمين وش قصدي 💦الخلا	OFF
104	M_alumri من صورته تخاف دول وجيوش # مهيب زربتن متجمعه وسط قمامه <LF>عز يا اميرنا يا امير الشباب حارقهم وجايب لهم غصه <LF>حي ذا الراس URL	NOT
105	مسلسل سقوط ايه يا ايمن يا كاشف يا خول!	OFF
106	@USER يووووه يا القوه يا النيلو عقبال كل المواد❤️	NOT
107	الله ياخذك يا أليغري يا جبان يا حمار	OFF
108	الله يرحمك و يغفرلك يا امي يا اطيب و احن قلب كان في الدنيا 💔	NOT
109	@USER بعد اذنك يا شيخنا يا ريت تفسير ل " قهر الرجال " اكثر .. و جزاك الله عنا كل خير	NOT
110	RT @USER: #صباحكم_ورد <LF>يا صباح الورد <LF>يا ورد الصباح ..<LF>ياصباحٍ فيه روحي هايمة ..<LF>عجلي فْـزي ترى <LF>كلي جراح ..<LF>وش يفيد الصبح وانت…	NOT
111	@USER يا لهوي يا لهوي يا لهوي بقى ♥️ قنبلة حب 🙈♥️	NOT
112	RT @USER: أستودعتك اللهم نفسي و أهلي و أحبتي و جميع ما وهبتني و أعطيتني في أمانتك و حفظك يا خير حافظ و يا أرحم الراحمين	NOT
113	ما أدري أقول يا حظّه بالرياض<LF>ولّا يا حظ الرياض فيه ❤️❤️❤️.	NOT
114	يا معاليك @USER يا استاذ يا بش مهندس يا مواطن يا حضرة المسؤول!! لأيمتى السكوت.. اذا خايفين يبطلوا يستوردو من عنا انا بغطي النقص بميزان التجارة!! بس احكو كلمة عالقليلة!! URL	NOT
115	يا ديفيد يا لويز يا خول	OFF
116	يا رب يخليكي يا ست الكل<LF>ويجعل ختام اليوم انتصار زمالكاوي ونفرح كلنا ان شاء الله <LF>🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹 URL	NOT
117	@USER يا هلي يا روح داري يا شموخي يا عُلُوّي يا بقائي <LF>يا إزدهاري أحبك ، الله يديمك ولا يحرمنا منك 🤴🏻♥️	NOT
118	RT @USER: يا كل عمري، يا ابتهاجي، يا فرحي.<LF>يا من نبض لأجله خفوقي بالاضلاع ♥️	NOT
119	تصرفاتي في الحياة ، يا اجي كلّي مندفعه يا اختفي تمامًا. الوسطيه اسمع عنها بس ماحصل لي شرف لقاءها حتى الآن	NOT
120	يا ليلي يا ليلا ليه النفس بقت شايلة 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂	NOT
121	اه يا اتي يا اتي يا زين <LF>اه يا اتي يا ضي العينين<LF>جده تغنت واطربت يا فرحها <LF>شعارك البراق زاد بحسنها<LF>اتحاد العب واحنا لك سند <LF>💛💛💛💛💛💛💛<LF>#الاتحاد_النصر .	NOT
122	يا ريم يا سارح<LF>قلبي معك رايح<LF>ترى الهوا جارح<LF>حرام تجافينا ،،<LF>URL URL	NOT
123	قلن يا قمر ما نسينا يا قمر روح قلن	NOT
124	@USER يا راشد يا مقرف يا جبان للأسف هذه تسمى خسة من شخص أحمق	OFF
125	يا كم مرو علي يا غالية غالين<LF>ما هم ب كرام بس مرو مرور أكرام	NOT
126	RT @USER: يا وليفي وميلافيّ يا جر الونّه ودقة عود.	NOT
127	يا انا سخيفه يا الفيديوات صج تضحك😂😂😂😂😂😂😂😂😂	NOT
128	ازاي يا حبيبي يا عمري يا أغلى الناس في عنيا ؟	NOT
129	RT @USER: RT يا جماعة. يا جامع يا رقيب URL	NOT
130	RT @USER: كوفيان با "ظهور" حسين(ع)<LF>و ما با "غيبت" تو <LF>امتحان شديم !<LF>براستي كداميك سخت تر است؟!<LF>ظهور يا غيبت ؟<LF>العجل يا مولا<LF>#MahdiSon…	NOT
131	يا نعلي يا حضي لسود 🖤	OFF
132	يا فرحتي يا سلوتي يا ضحايا	NOT
133	يارحيم ياكريم يا قوي يا متين يا عليم يا قدير يامن لا إله غيره ياحي يا قيوم.	NOT
134	RT @USER: انا هنا شبيت يا وطني <LF>زيك ما لقيت يا وطني <LF>انا بفخر بيك يا وطني<LF>بالروح افديك يا وطني<LF>❤️💚🖤❤️💚🖤	NOT
135	RT @USER: مهووو يا تلعبوو بروح التيشرت يا تمشوو<LF>الاهلي مبيوقفش ع حد<LF>كان وقف ع صالح سليم وتريكه والخطيب كان وقف ع كتيرر<LF>💪✊👏👑❤ #ال…	NOT
136	مبروك يا رجال مبروك يا كبير مبروك يا عميد وفالكم البقاء 🖤💛. <LF>@USER	NOT
137	@USER نزلت امبارح وشكلي مش هروح تاني اه يا ضلوعك يا رضا بموت 😭	NOT
138	يا الخرطوم يا العندي جمالك جنه رضوان طول عمري ما شفت مثالك في اي مكان.. URL	NOT
139	أمواج عاليه تحاول زحزحه شموخك يا بغداد خونه ومارقين عملاء حاقدين فاسدين كلهم من طينه الغدر والخيانة ولكن هيهات أن تسلمي وتركعي أمام هولاء الانذال صباح الخير يا عراق صباح الورد يا بغداد صباح الأنوار على قلب كل إنسان نقي أسعد الله صباحكم أحبتي URL	NOT
140	@USER حبيبي يا علاء يا بن الغالي و الغاليه	NOT
141	RT @USER: يا ابو ثلاثة يا ابو ثلاثة سرى الليل يا ابو ثلاثة. <LF> #الاتحاد_النصر URL	NOT
142	@USER @USER يا يزيد يا يزيد ما شاءلله عليك ♥️	NOT
143	ياريت يا وحشين يا بتوع الحوارات يا كلاب URL	OFF
144	@USER قوية فيهم ناس كويسة يا عيت ملائكة انتو ياطيبين يا متحضرين يا نيويوركيين يلي مافيش زيكم	NOT
145	RT @USER: @USER والله من انزه الحكام لكن هم اذا حكم ما يصفر لهم 100% يكون مرتشي حسب رايهم يا تكون معانا يا تكون مرتشي…	NOT
146	يا حسافة الفرحه يا بيب 😂😂😂😂😂😂😂😂😂😂😂	NOT
147	RT @USER: اللهم يا الله <LF>"لا تتركني يا الله اتبع شيئاً ليس لي ؛ واحب شيئاً لا تحبه ، لا تجعلني احلم بما اشاء ؛ ولكن اجعلني احلم بما ش…	NOT
148	RT @USER: #الإخوان_المسلمين في #السودان واقفين مع الجيش وبيدعموه.. تاني يا زكي.. تاني يا هايف يا تافه.<LF>#بالملليميتر_يا_حبيبي	OFF
149	@USER تفو عليك يا بقرة يا نعال يا واطي يا منحط	OFF
150	@USER @USER من انتم يا حشرات يا عديمي الاصل والاخلاق لتقسموا البشر بطريقتكم الغبية هذا ان دل يدل على انكم بلا اصل ولذلك تششكون في اصول الناس وتودون ان كل الناس تصبح مثلكم بلا اصل لكي لا تكونوا الوحيدون	OFF
151	آه يا قصر المسافه و يا طول تعبي<LF>و الهبوب إن فرع الجرح جمره كاويه <LF>آتطوى كني القاع لا هجهج ظبي<LF>كل ما أصرد بعيني تضيق الزاويه ..	NOT
152	اخص يا اكسو يا مشاهير انتم URL	NOT
153	RT @USER: @USER هم يا يفوزون يا السالفه مغشوشه دلوعين حيل وش زيننا امس رضينا وما جدعنا حتسي على رئيسنا ومدربنا🚶🏻‍♀️	NOT
154	@USER يا بنتي خدي قلبي يا بنتي مش عوزاه❤	NOT
155	يا اويحيى يا الكلب تفوووو<LF>سامحوني خاوتي حاشاكم زاد جاني فالبال	OFF
156	نمت ساعه وكل شيء احسه يا أرق يا ابن الكلبة مو وقتك ورب البيت مو ناقصتك	OFF
157	@USER اللهم اجمعني بمن احب🌹... و انت يا ريان يا رب يسعدك و يوفقك و يسهل أمرك	NOT
158	@USER #قدح_وجم - القط بيحب خناقه<LF>- قط بسبع أرواح<LF>- إن غاب يا قط إلعب يا فأر<LF>- زى القطط تأكل و	NOT
159	RT @USER: يا جماعة نحن بالظبط في الحته دي يا نواصل يا نرجع ونكون قطعنا مشوار عالفاضي<LF>#اعتصام_القيادة_العامة URL	NOT
160	RT @USER: اللهم اجعل قبره روضة من رياض الجنة، ولا تجعله حفرة من حفر النار واغفر له يا رحمن وارحمه يا رحيم وتجاوز عمّا تعلم ياعليم امي…	NOT
161	RT @USER: يا هايف الخصريـن يا منـور بالبيت<LF>يا جيد ريم نافل عن مثيلاته<LF>وعيون حور تحيي بها وتميت<LF>نظرتك تشفي صويب منك ويعاته<LF>إرحم رحمك…	NOT
162	RT @USER: كفاية وساخة با سيبو جروس يكمل شغل علي نضافة ولة الحتة الأهلاوية ظهرت عندك يا مرتضي يا معرص وعاوز تشتت الزمالك #ادعم_جروس	OFF
163	RT @USER: 😁😁😁 يا مدحت يا شلبي يا ابو بيضه يا طعميه يا هلالي يا زعيقي يا طاقيه اذا كنت في نشوتك وفوز الهلال نراك تتحدث مصري واذا…	OFF
164	اسئلك يا ملك يا من الملوك فقراء بين يديه اللهم اقضي حوائجنا و حوائج المسلمين اجمعين	NOT
165	كلمة "حبيبي" فضلت حتى فى الفراق "يا حبيبي شو نفع البكي"<LF>فيروز الوحيده اللى كلمته بمنتهى الرحمه والحب وقالت "الله معك يا هوانا يا مفارقنا،حكم الهوى يا هوانا وتفارقنا" ، الوحيده ال بعد سنين فراق قالتله "كيفك أنتَ" ؟،ولا لما قالت "ما رح ترجع بعرف أنن غيروك يا حبيبي وعذبوني وعذبوك"	NOT
166	الف سلامه يا ساسي بنحبك يا ساسي❤❤❤<LF>ان شاء الله ترجع بسرعه واحسن من الاول يا عالمي❤ URL	NOT
167	وباسمائك التي غلبت اركان كل شئ ، وبعلمك الذي احاط بكل شئ ، وبنور وجهك الذي اضاء له كل شئ ، يا نور يا قدوس ، يا اول الأولين ويا آخر الاخرين ، اللهم اغفر لي الذنوب التي تهتك العصم ، اللهم اغفر لي الذنوب التي تنزل النقم ، اللهم اغفر لي الذنوب التي تغير النعم	NOT
168	@USER الف مليون سلامه عليك يا سهل يا مايسترو وان شاء الله ترجع بسرعه واحسن من الاول	NOT
169	يا عاذرني قبل عذري يا قَابلني مثل ما أكون.	NOT
170	يا كسفتك يا حازم حازم 🙃 URL	NOT
171	والله ان شالله تشتى تلج برده طلعنا الصيفى وهنلبسه ، خشى يا بت يا سعدية البسى الشميز الاصفر URL	NOT
172	@USER ستين نيله اما تاخدك يا سافل يا حيوان باللي ملقتش حد يربيك و لا يفهمك دينك <LF>جتك خيبه انت داهيه تاخدك	OFF
173	على اتحاد العار ان يستسمح الشوال ان يلعب المباراة بجمهور يا الف خساره يا بلد كل منقول خطوه للامام ييجى شوية عاهات يخدونا لوره	OFF
174	Mood: <LF>الله الله يا بابا وسلام عليك يا بابا 💃🏻💃🏻	NOT
175	#سناب_شات<LF>يسألوني وأنتي اكبر من سوالفهم جميع<LF> وأنتي اجمل ما خلق ربي بهالكون الوسيع<LF> واني أتلاشى بدون عيونك الخجلى أضيع <LF>اعذريهم يا لحبيبه آه آه يا أغلى حبيبه ❤️ URL	NOT
176	@USER الله يبارك فيك يا أحمد تسلم يا رب وعقبالك ⁦😍	NOT
177	RT @USER: كم أشتاق لك يا أحلى الورود يا أحلى حلم يا فرحة في نفسي تجود أنت زمزم ماي عيني #أمي حبي وانت عمري حتى مماتي...💔	NOT
178	@USER يا ستي لا يا ستي 😂😂 ..	NOT
179	@USER نحن مين بالضبط يا زيدان يا متخفي 🌚😂😂😂😂😂😂😂😂😂😂<LF>توتنهام اياكس سيتي ليفربول<LF>كلهم خصوم وصلوا مرحله مش بسيطه وممكن يكونوا تهديد لحظوظ البرسا، نقول يارب ❤️	NOT
180	@USER يا حيا الله يا حيا الله	NOT
181	RT @USER: #الاهلي_الهلال_والنصر_الاتحاد<LF>تكفون يا جمهور #النصر تكفون يا اوفياء <LF>طلبتكم طلبه <LF>الحضور ثم الحضور ثم الحضور لا تحرمون نجومك…	NOT
