Not_offensive 	 Ithu ikkayude script aanu..   Uttopiya
Not_offensive 	 ninakkini malayalam indrustiyil kidann polakkaan pattumenn thonnunnundo bosse enna chodyathinu oru adaar marupadi pratheekshichu
Not_offensive 	 Tharikida sabu pora oru kazhchakilla .
Offensive	 Ippo penpidi kazhinju.! Kunju pidipikaan thudungayo?
Not_offensive 	 Laletta adich policho laletta Nigaloru muthaan ie padam Vijayikom nokiko apo
Not_offensive 	 Trailer kalakki. Oru Suspense okke keep cheythittund
Not_offensive 	 Usmaane....vegam vaarikettiperukkeda...theeyum pokem parapichond oru koottam varunundeda....
Not_offensive 	 Padam vere level aaavum.... Mammulaaaal fanz
Offensive	 Nanamilleda nalla reethiyil pravarthikkunna hospitaline karivari thekkanayitt  Ahalians Da
Not_offensive 	 ആഹാ.... അടിപൊളി ആണല്ലോ. വ്യത്യസ്തമായൊരു സിനിമ അനുഭവം ആയിരിക്കുമെന്ന് തോന്നുന്നു
Not_offensive 	 ഇതുപോലേ ഒരു ഐറ്റം മലയാളത്തിൽ ഒന്നേ കാണു
Offensive	 Ni arda vadha beeshani ondakan..patti ..inala vannu korach cinema edthpo ni ethanda vallya kopila producer ayen thonuna..pooy chathudeda mayre
Not_offensive 	 ഇത് രാജുവേട്ടൻ പറഞ്ഞ പോലെ സൂപ്പർ സ്റ്റാർ ആയി മമ്മൂക്കയും ഫാൻ ആയി രാജുവേട്ടനും ആയിരുന്നെങ്കിൽ  ഒന്നാലോചിച്ചു നോകിയെ
Not_offensive 	 Edak edak vannu views nokunavar evide like adik.  #Lalettan #Prithiviraj
Not_offensive 	 Teaser kandappo valya pradeeksha illayirunnu.......ithu kandappol maarikitti......
Not_offensive 	 Supr hit avumo?...enkil adiku macha like here
Not_offensive 	 Canadakk pokan irikunavar ivde like adik
Not_offensive 	 oru nimishathekk  bigbossine oormavannathu enikku maathramaano?
Not_offensive 	 5 million ayo Ne nokkan vannavar Ethra Paru Nde
Not_offensive 	 ഈ പടം വൻ വിജയമാകും sure
Offensive	 എന്ത് മൈര് ആണെങ്കിലും ഞാനും എന്റെയും ഭാര്യയുടെയും കുടുംബത്തിലുള്ളവരും എന്റെ 27 ഇൽ പരം ഫ്രണ്ട്സും അവരുടെ കുടുംബങ്ങളും ഈ സിനിമ കാണുന്നില്ല എന്ന് തീരുമാനിച്ച വിവരം വിനയപൂർവം അറിയിക്കുന്നു... കാരണം ബ്ലോജോബി ജോർജ് എന്ന ആ തരം താണ  വ്യക്തി ആണ് ഈ സിനിമ നിർമിച്ചിരിക്കുന്നത് എന്നത് കൊണ്ട് മാത്രം... ഈ കമെന്റ് delete ചെയ്താൽ എനിക്ക് മലരാണ് എന്നും അറിയിച്ചുകൊള്ളുന്നു... മമ്മൂക്ക ക്ഷമിക്കണം..
Not_offensive 	 Ohh mamooka kalaki...Adipoli trailer... Best Wishes from Tamil Nadu.
Not_offensive 	 Ni okke aaradhichittalla njan nadan aayath
Not_offensive 	 Haneef adeni pwolikkum  Maass trailer  Mommookkayude Face kanum yenn pradeekshichu  Sambavam marana maass aann
Not_offensive 	 Villain tovino anengkil maari 2 kazhiyinj 2 movie as villain
Not_offensive 	 അനാർക്കലി സിനിമ 2 part Venam Ennu parayunnavar Like adiii🤙
Offensive	 ബക്ക ബക്ക ബക്ക ബക്ക ബക്ക ബക്ക ബക്ക... മൈരൻ നീമ്പു ഇതും ഊമ്പിക്കും...
Not_offensive 	 എല്ലാവരും ഈ ലിങ്കിൽ കേറി രാജുഎട്ടനെ ജയിപ്പിക്ക്
Not_offensive 	 Ee movieyil shane seafood companiyil jolikku pokumbol earphone vechu oru nalla beats okkeyulla english song kelkunundallo. Athu ethu song aanennu aarkenkilum ariyamo..
Not_offensive 	 Xmas rajuvettanum surajettanum koodi kondupovunna thonnane
Not_offensive 	 സൂപ്പർ മൂവി
Offensive	 അയ്യോ ഇത് എന്ത് ദുരന്തം ട്രയ്ലർ ആണ് ഇതിലും betham സന്തോഷ് പണ്ഡിറ്റിന്റെ രാധയുടെ ട്രയ്ലർ ആണ്Oh ഞാൻ പറന്നു ലാലുണ്ണി അല്ലെ അപ്പോൾ ഇതൊക്കെ പ്രധീഷിക്കണ്ട ഉള്ളൂ
Not_offensive 	 Mass alla maranamass alle kollamass anu lalettan
Not_offensive 	 orkkunno pand ONE WAY TICKET enna padathil Prithvi Ikkayude Fan aayi Vannath...
Not_offensive 	 ചങ്കുറപ്പുള്ള രാജുവേട്ടന്റെ ചങ്കുറപ്പുള്ള ഫാൻസ്‌.  ഞങ്ങൾ
Not_offensive 	 Anusitharayude abinayam rassamilla kaanan yella fillmilum kanakkaan (my personal opinion)
Offensive	 ഈ തടിയനെ വെച്ചേ ആരെങ്കിലും പടം എടുക്കോ 🤣🤣🤣🤣🤣
Not_offensive 	 2 പേരെയും ഒരുമിച്ചു കണ്ടപ്പോ ചെറിയൊരു രോമാഞ്ചം..
Not_offensive 	 സിനിമ കണ്ടതിന് ശേഷവും ട്രൈലെർ കാണാൻ വന്നവർ കമോൺ ഇവിടെ
Not_offensive 	 ഇതിപ്പോൾ സിനിമ മൊത്തം ഉണ്ടല്ലോ സഹോ ??
Not_offensive 	 01:04 ഇപ്പൊ ജോബി ജോർജിന്റെ അവസ്ഥ
Not_offensive 	 ബിജിഎം ക്യാമറ എല്ലാത്തിനും addict.....  ഒരു സൂപ്പർ hit മണക്കുന്നു
Not_offensive 	 trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu
Not_offensive 	 Nammal polikkum ithengikum onnu 100 ethikanam
Offensive	 ഇതുമാതിരി മൂഞ്ചിയ സിനിമ കാണുന്നത് ആദ്യമായി ആണ്  പൈസയും പോയി. ഇവനൊക്കെ  എന്തൊരു ദുരന്തമാ??
Not_offensive 	 Nammude mutth veedum vannu polikkum muthe
Not_offensive 	 Views 10M kadakkum ennurappullavar like adi
Not_offensive 	 Sunny chechi ye Kanan vanahvar like adi
Not_offensive 	 ഇത്  തമിഴിൽ എടുത്താൽ  ആരെ cast ചെയ്യും.  Nayntara
Not_offensive 	 രാജുവേട്ടൻ  ഫാൻസ്‌ like സുരാജേട്ടൻ ഫാൻസ്‌ comment
Not_offensive 	 Indettante a dialogue kiduvanalle.. (Mahiravanan
Not_offensive 	 ഫഹദ് ഇക്ക നിങ്ങ പൊളിയാണ്. കഷണ്ടി കാരുടെ അഭിമാനവും ആത്മവിശ്വാസവുമാണ് നിങ്ങൾ  ഫഹദിക്ക ഇഷ്തം
Not_offensive 	 0.44 നമ്മുടെ കോട്ടയത്തിന്റെ സ്വന്തം പണി തീരാത്ത ആകാശ്പാത
Not_offensive 	 Nntte ponnu ikka nigalu oru sambhavamata
Not_offensive 	 Aara hero aara villan kili pooyi
Not_offensive 	 Ithu kanda malayaly chunks udenkil ..........adi oru like
Not_offensive 	 Adipoli mass superb kidu mammootty polich ____mass aayitund trailer pakka poli
Not_offensive 	 Ithu rajayude 3 strong Alla ettande Lucifer
Not_offensive 	 ചേട്ടന്മാരേ മാമാങ്കം കണ്ടു review ഇടുകയും ചെയ്തു പറ്റുമെങ്കിൽ ഈ link ൽ click ചെയ്തു കാണുക
Not_offensive 	 Jayasurya chettan mass lookaaa pakka mass don
Offensive	 Ente ponnu ajay vasudeve..... ithumkuudi ni pottichaal..... ni inni malayalam industriyil nikkanda..... vella tamilnaattilottum vitto.......
Not_offensive 	 Vineeth sreenivasan ennnu kanda pinne onnum nokkanda padam vere level ayirikkum
Not_offensive 	 ഇതിൽ നിന്നും മമ്മൂക്ക മാറിയത് വെറുതെ അല്ല
Not_offensive 	 1:48 illl dileepettante.... Lookkum.... അഭിനയവും......
Not_offensive 	 ഷാരുഖ് ഖാന്റെ ഫാൻ മൂവിയുമായി സാമ്യം ഉണ്ടോ ഇതിന്..
Not_offensive 	 First show kanum enn urappullavar like adi
Not_offensive 	 Ithipol matte sambavam kazinja shesham dileeep nu police 
Not_offensive 	 Karikunnam sixersile surajettane pole ayirikkum aju varghees ennu thonniyavar like adi
Not_offensive 	 ഡ്രൈവിംഗ് ലൈസന്‍സ് എടുക്കാന്‍ ഞാന്‍ നാട്ടില്‍ എത്തിയിട്ടുണ്ട് ...കുടുംബത്തോടെ എടുക്കും
Not_offensive 	 Hambo ..Vere level ..Oru rakshayum illa
Not_offensive 	 Hindi film FAN nte vibe kitti
Not_offensive 	 Manju chechi ningalu vere levelanu ithu hittadikum
Not_offensive 	 Orumathiri tamil mass padam pole thonnunu...daivam noke parangu politiciansne oke ingane thalapathuvekkunne aavishamillatha hype alle ???.
Not_offensive 	 മമ്മൂക്ക ഉപേക്ഷിച്ച പടം ആണെന്ന് കേട്ട്
Not_offensive 	 Jayettaaaa ente chunkkeee🥰 Sabu Chettan 🥰
Not_offensive 	 Enta ikka polichu   Kidu item  Ethu polikkum
Not_offensive 	 മനുഷ്യന്റെ പല്ലുള്ള മീനിനെ കണ്ടവരുണ്ടോ ഇല്ലെങ്കിൽ ഈ വീഡിയോ കാണൂ
Not_offensive 	 ഇത് കൊള്ളാലോ... ഈ പടം നമ്മൾ വിചാരിക്കുന്നതിലും മുക്കാലിലാണലോ ....
Not_offensive 	 bgm  kettit kgf pole undallo
Not_offensive 	 Lalettan pola dialogues parayan arakum kazhiyal agakathum ella
Not_offensive 	 ഈ ട്രെയിലറിൽ മഞ്ജു ചേച്ചിയുടെ അഭിനയം വളരെ ക്യൂരിയോസിറ്റി ഉണ്ടാക്കുന്നു.... ഈ ഫിലിമിൽ പ്രവർത്തിച്ച എല്ലാവർക്കും പ്രത്യേകിച്ച് മഞ്ജു ചേച്ചിക്ക് എൻറെ എല്ലാവിധ ആശംസകളും....
Not_offensive 	 കമന്റ്‌ വായിച്ചോണ്ട് വീഡിയോ കാണാൻ പറ്റില്ല.... കാരണം എല്ലാ ഷോട്സും അത്രക്ക് തീവ്രമാണ്
Not_offensive 	 ഇത് ഷാരൂഖ് ഖാന്റെ FAN എന്ന സിനിമയുടെ remake ആണോ 🤣
Not_offensive 	 Endokke ayerunnu.... Lag padam... Monee shree
Not_offensive 	 trending ennu kaanumbol Katta dileepeatan fanaya aalukalk indavunna Oru.. santhosham  athu paranju ariyikan. patulaeatan  ishtam
Not_offensive 	 Kuttan pillayude sivarathri ormavannar LIKE Adi
Not_offensive 	 മഞ്ജു ചേച്ചിക് ഇരിക്കട്ടെ all kerala പൂവൻ കോഴി asosiation nte vaka ഒരു കുതിരപ്പവൻ... 🤩
Not_offensive 	 ഇതാണോ നിന്റെ പുകയില്ലാത്ത അടുപ്പു
Not_offensive 	 E trailer kndapoi.... Ethra perkku kgf padam ormma vannu
Not_offensive 	 1:07 iyalde kaalu vetiyathalle 1st partlu ....
Not_offensive 	 ഷൈജു ഖാലിദ്
Not_offensive 	 Kajal Aggarwal Fans Subscribe Channel Dayli uploaded kajal All Videos
Offensive	 Lal fans kurachu kashttapedu unlike adichuuu
Offensive	 ഇങ്ങേർ കുറെ കാലമായി fitness video കാണിച്ചു വെറുപ്പിക്കുന്നു എന്നിട്ടോ ഇന്നേവരെ തടി കുറഞ്ഞിട്ടില്ല ഇനി കുറയുകയുമില്ല ജയറാമേട്ടൻ വെറുപ്പികത്താനെ കാണിച്ചു തന്നു വെറും 2 month കൊണ്ട്  ജയറാമേട്ടൻ super ആണ് ല്ലേ lubyou
Not_offensive 	 Aadyayitta oru comment vidune video kandaal aarum onnu comment ittupovum
Not_offensive 	 Padam motham twistukal aayirikkumennathil samshayamilla
Not_offensive 	 ഇജ്ജാതി പടം ഞാൻ എന്റെ ലൈഫിൽ  കണ്ടിട്ടില്ല.      Kidu.  Super.  പറയാൻ വാക്കുകളില്ല
Not_offensive 	 December 12 inn katta waitingullar like poad
Offensive	 സിനിമ ഇറങ്ങിയില്ല  അതിനു മുൻപേ degrade ചെയ്യാൻ സുഡാപ്പികൾ ഇറങ്ങിയിട്ടുണ്ട്...
Not_offensive 	 Prayam koodundorum soundaryam koodunna ore oraal.. Mammookka
Not_offensive 	 Romanjam
Not_offensive 	 രാജുവേട്ടന്റെ പിള്ളേര് വന്നു ഒന്ന് പവർ കാണിച്ചേ.... ഇജ്ജാതി ട്രൈലെർ പൊളിച്ചു
Offensive	 Adutha kettu manakunu. Anu Sitara kavya madavante clone alle. Ee koode abinekunevark onm oru tulli ulup tonille avo!
Not_offensive 	 ഹു! ഒരൊറ്റ നെഗറ്റീവ് കമന്റ് പോലും ഇല്ലല്ലോ :: അത്രയ്ക്ക് കിടു ആണോ ഈ ഫിലിം🤔
Not_offensive 	 appo E onam  apo ettanum pillerum angu edukua
Not_offensive 	 Oru like oru subscribe oru comment
Not_offensive 	 Soubin bhasi pwolikum   By parade fahadikka kondokum
Not_offensive 	 ithenthonna ithra valiya traileronnuallallo....oru saada chalikal neracha ippo adhikavum kand varunna type trailer
Not_offensive 	 2.49 കണ്ടു നോക്ക്... ഞെട്ടി തരിച്ചുപ്പോയി
Not_offensive 	 Trailer കാണാൻ വന്ന  ലാലേട്ടൻ ഫാൻസ്‌ ഒന്ന് ലൈക്ക് അടിച്ചേ
Not_offensive 	 റോഷൻ ആൻഡ്രൂസ് ഏറ്റവും നല്ല സിനിമ ഉദയനാണ് താരം ആണ്...ബാക്കിയുള്ള ഫിലിമുകൾ എല്ലാം ഈ സിനിമയുടെ മുന്നിൽ നിലവാരം കുറഞ്ഞതാണ്
Not_offensive 	 Powli padam. Oru rakshyum illla kidu......
Not_offensive 	 Heavy..Mass & Clas...cudos team Lucifer... Laalettaa ingalu Muthaanu...Double Role Aanu Makkale......
Not_offensive 	 Kalakki ithu box ofice aaghosham aayirikkum
Not_offensive 	 എത്ര കണ്ടിട്ടും മതിയാവാത്ത ഒരു അ ടാർ item
Not_offensive 	 BGM uru raksha illaaaa.... Sushin shyam touch pole.
Not_offensive 	 Dec 12 onn akan etra nalay waiting anu
Offensive	 മാങ്ങാത്തൊലി പടം... പിള്ളേരെ നേര് മാർഗ്ഗം ദൈവ വിശ്വാസത്തിൽ വളരേണ്ട സാഹചര്യമൊരുക്.. മുതിർന്ന ക്ണാപ്പൻമാരെ.
Not_offensive 	 Ee padam pwolikkum pwoli teaser teaser...
Not_offensive 	 സുരാജേട്ടൻ ഈ പടം ഇങ്ങെടുത്തു എന്ന് പറയാൻ പറഞ്ഞു
Not_offensive 	 Ekkakkum Akkakkum Mohanlal fansinte full support undakum
Not_offensive 	 Appo nammalellavarum views & Like ethrayayenn nokkan vannatha
Not_offensive 	 Peranbu ...Yatra ..raja ....ikka tripple strong aanu makkalae ....
Not_offensive 	 Ravile thane views likes ethra ayyi enn nokan Vanavar adi like evide
Not_offensive 	 ഒരു 10 കൊല്ലം കഴിഞ്ഞ് ഇറങ്ങേണ്ട പടം.... ഇങ്ങനെ ഒരു പടം ഇറക്കാനുള്ള റേഞ്ച് പ്രിത്വിരാജ് നു ആയിട്ടില്ല
Offensive	 2.7k unlike adicha pengalepanni makkalkku ente naduviral namaskaram
Not_offensive 	 Surajettane kndappol ravanaprabhuvile varyar ammavane ormma vannavarundo
Not_offensive 	 ഈ പടം ഞങ്ങൾ കോട്ടയംകാർക്കു സ്വന്തം
Not_offensive 	 എനിക്ക് എന്റെ സ്വന്തം സഹോദരി  ..മഞ്ജുചേച്ചി ....
Not_offensive 	 Highly promising trailer.  പഴയ മഞ്ജു ചേച്ചിയെ തിരിച്ചു കിട്ടിയത് പോലെ
Not_offensive 	 Katta waiting lu aayirunnu ea trailer
Not_offensive 	 രാജു ഏട്ടൻ സുരാജ് ഏട്ടൻ  ഇൗ ക്രിസ്ത്മസ് തീയേറ്റർ പൂരപറമ്പ് ആകും.. #മാമാങ്കം #ബിഗ് ബ്രദർ #My Santa & DRIVING LICENSE  എല്ലാ സിനിമകൾക്കും ആശംസകൾ
Not_offensive 	 120k lyk pakshe 22k views ullu Ntho saangethika thakarar und🤔
Not_offensive 	 ആ ഗോപി സുന്ദരനെ ഇങ്ങോട്ട് വിളി.. ഇതിലും നല്ല ബിജിഎം ഞാൻ ഉണ്ടാക്കും എന്ന് പറ..
Not_offensive 	 പടം ഒന്നിൽ കൂടുതൽ തവണ കണ്ടവർ ഉണ്ടോ
Not_offensive 	 Adipoli immadhiri uff a pullinte voice a bikshakaran aan trailer haram akiyadh
Not_offensive 	 Camera chaithirikkunnathu nalla pakka pakka... Nalla dop.... Orupadishtay
Not_offensive 	 Thrissur baasha athra pora ennu trailer Kanda ppl enikku thonni ningalko?
Not_offensive 	 Katta Waiting..... Suraj Ettanteyum Saubin Sahirinteyum... Vere Level Comady Film Aaavaam
Not_offensive 	 ലാസ്റ്റിലെ ആ ഡയലോഗ് പറഞ്ഞത് പ്രദീപ്‌ കോട്ടയം ചേട്ടനാണെന്ന് തോന്നുന്നു
Offensive	 Telugu padam maathiri thoori aakki kalanjallo... Sheey
Not_offensive 	 Njangalude muthanu  ingalu laletta..... Lub u Etta......
Not_offensive 	 ആരുടേയും അഭിനയം മറ്റൊരാളെക്കാള്‍ മികച്ചതാണ് എന്ന്‌ പറയാ൯ വയ്യ... എല്ലാരു൦ തക൪ത്തു...
Offensive	 ബലാത്സംഗ വീരനെ നായകനാക്കിയ കണ്ണപ്പനുണ്ണി സാറിനും സാറിന്റെ ഫാമിലിക്കും റിപ്പബ്ളിക് ദിനാശംസകൾ
Not_offensive 	 Njan oru Lalettan Fana Ennalum Enikk Teaser Ishtappettilla
Not_offensive 	 22k views ennanallo kanikkunne? but 140k olam likes und? athentha angane?🤔
Not_offensive 	 Kekan. Nalle. Sugam. Ingne.  Jeevich.  Nokk.   Pani.  Nalle. Kittum.   Ellla bagath. Ninnum
Not_offensive 	 ithiri ponna commediane ozhivakki selective akoo laletta..
Not_offensive 	 ഒരു 10 കൊല്ലം കഴിഞ്ഞ് ഇറങ്ങേണ്ട പടം.... ഇങ്ങനെ ഒരു പടം ഇറക്കാനുള്ള റേഞ്ച് പ്രിത്വിരാജ് നു ആയിട്ടില്ല
Not_offensive 	 Pwoli marakam ente frnds adakkam ellarkum ishtapettu
Not_offensive 	 0:52 ഇത് മുഴുവൻ ഉണ്ടാക്കിയെടുത്ത ഈ മൊതലിന് എത്ര ലൈക്
Not_offensive 	 mammookka  ennum mega star thanne
Not_offensive 	 Onum parayanila elarum pwoli
Offensive	 ഈ മുഖഭാഫം  കണ്ട്  ആരും അത്ഭുധപെടേണ്ട . സന്തോഷ്  പണ്ഡിറ്റ്  നേക്കാളും  കിടുവ
Not_offensive 	 Morning eneechepol thanne veendum kandavar arund7.22
Not_offensive 	 ഇതിന്റെ background music kittan valla vazhiyum undo. Kidilan
Not_offensive 	 Ee Vishnu  Stephan nedumpally kondupokum athinu oru samashavum Venda
Not_offensive 	 Adipoli immadhiri uff a pullinte voice a bikshakaran aan trailer haram akiyadh
Not_offensive 	 Lalltten fansinte best of luck. For dilepptan
Not_offensive 	 Enta ponnooo..... Adaar item.... Ith pwolikkum..
Not_offensive 	 ലെ ചങ്ക് ഇത് എന്നെ ഉദ്ദേശിച്ചാണ്  എന്നെ മാത്രം ഉദ്ദേശിച്ചാണ്
Not_offensive 	 enik mathramaano madhuraja teaserine kattilum e trailer ishtapettathu. .
Not_offensive 	 മഞ്ജുചേച്ചിയുടെ ഫാൻസ്സ് എല്ലാരുംകൂടി... എന്റെ ചാനൽ ഒന്ന് SUBSCRIBE ചെയ്യാമോ...
Not_offensive 	 Mammukka kalakam super trailer rajaiuda team double strong alla trouble strong annu
Not_offensive 	 Neerali release date epozha makkale ..... Perunnal Derrick abraham angu eduthu makkale
Not_offensive 	 Driving license ഇല്ലാത്ത എത്ര പേർ ഈ ട്രൈലർ കാണുന്നുണ്ട്?  സിനിമ വൻ ഹിറ്റാവട്ടെ
Not_offensive 	 Ajuvine kandale ariyam on negative role anenn pinne lift kanikkunond aval mikkavarum liftil kanum..
Not_offensive 	 ഇന്ത കഥയിലെ നാൻ വില്ലൻ  ടാ..
Offensive	 Kurre  Ekka Duranthangla Unlike Thudangitt indalla
Not_offensive 	 Malappuram jillakkarude padam. Malappuram jillakkar adi like
Not_offensive 	 കാലമെത്ര മാറിയാലും ജോഷിയേട്ടന്റെ മാസ്സ് അങ്ങനൊന്നും പോയി പോവൂലാ
Not_offensive 	 Filmil mughath age kaanikunnu athentgaa angane
Not_offensive 	 5 million ayo Ne nokkan vannavar Ethra Paru Nde
Not_offensive 	 ചാനലിന്റെ പേര് ശ്രദ്ധിച്ചവർക്കു ലൈക്ക് അടിക്കാനുള്ള സ്ഥലം...
